Coin,Price,24h Change,Market Cap,Time
"CoinMarketCap 20 Index DTF
CMC20",195.52,0.21,0.0,2025-12-12 19:08:13.304556
"Bitcoin
BTC",92318.11,0.13,0.0,2025-12-12 19:08:13.304556
"Ethereum
ETH",3244.0,0.19,0.0,2025-12-12 19:08:13.304556
"Tether
USDT",1.0,0.01,0.0,2025-12-12 19:08:13.304556
"XRP
XRP",2.04,0.09,0.0,2025-12-12 19:08:13.304556
"BNB
BNB",887.8,0.16,0.0,2025-12-12 19:08:13.304556
"USDC
USDC",0.9998,0.0,0.0,2025-12-12 19:08:13.304556
"Solana
SOL",139.27,0.52,0.0,2025-12-12 19:08:13.304556
"TRON
TRX",0.2772,0.04,0.0,2025-12-12 19:08:13.304556
"Dogecoin
DOGE",0.141,0.15,0.0,2025-12-12 19:08:13.304556
